name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
Anjali Kitchen,312390,57,Chandrashekarpur,3.4,['Indian'],20000,36,36,36,Kalinga Hospital Square,30% off on orders above ₹100,Percentage,RESTAURANT,2200,
Smog Resto Cafe,76133,57,Chandrashekarpur,4.2,"['Indian', 'Chinese', 'Tandoor']",40000,36,36,36,Gajapati Nagar,,,,2200,
HOTEL WELCOME,307569,57,Sahid Nagar,4.2,['Indian'],30000,36,36,36,Sahid Nagar,,,,2700,
HOTEL SURPRISE,268296,57,Sahid Nagar,--,"['North Indian', 'Chinese', 'Tandoor']",25000,36,36,36,Patia,,,,2700,
THE UTKAL,324596,57,Patia,--,"['North Indian', 'Chinese', 'Biryani', 'Tandoor']",20000,36,36,36,Patia,,,,2700,
N5 Restaurant And Coffee Bar,85778,57,Nayapalli,3.8,"['Indian', 'Chinese', 'Tandoor']",20000,37,37,37,ID Market,,,,2700,
Ollywood Hotel,121572,57,Sahid Nagar,3,"['Oriya', 'Indian', 'Biryani', 'North Indian', 'Chinese', 'Snacks']",15000,38,38,38,Unit-4,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
Hotel Maa Santoshi,159197,57,Sahid Nagar,3.1,['Indian'],15000,38,38,38,RUPALI SQUARE,20% off on all orders,Percentage,RESTAURANT,2700,
Tandoor Matka,100776,57,Rasulgarh,3.7,"['Beverages', 'Indian', 'Chinese', 'Biryani', 'Fast Food', 'Thalis']",15000,38,38,38,"NALCO Square, Chandrasekharpur, Bhubaneswar.",50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
Rolling Crunchy's,157316,57,Chandrashekarpur,3.9,"['Italian', 'Pizzas', 'Tandoor', 'Biryani']",25000,38,38,38,Chandrashekarpur,25% off on orders above ₹100,Percentage,RESTAURANT,2200,
Brocan Cafe and Restaurant,217500,57,Chandrashekarpur,4.1,"['Chinese', 'Fast Food', 'Indian']",25000,38,38,38,Chandrashekarpur,,,,2200,
Eat street jaydev vihar,256699,57,Sahid Nagar,4.1,"['Biryani', 'Chinese', 'Indian', 'Tandoor']",30000,38,38,38,Nayapalli,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
