name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
Oopre Kitchen & Cafe,99355,57,Patia,4.2,"['Indian', 'Chinese', 'Tandoor']",30000,56,56,56,Chandrashekharpur,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
FILIKOS CAFE AND RESTAURANT,340845,57,Khandagiri,--,"['South Indian', 'Juices', 'Beverages']",25000,56,56,56,Khandagiri,,,,3700,
The Hungrill,113151,57,Khandagiri,4,"['Indian', 'Chinese']",20000,57,57,57,"Ruchika Market, Baramunda",,,,3700,
Yo Panda,295732,57,Patia,4.1,"['Oriental', 'Thai']",20000,57,57,57,Patia,10% off | Use SWIGGYIT,Percentage,RESTAURANT,3700,
Burger King,92284,57,Rasulgarh,4.2,"['American', 'Fast Food']",35000,57,57,57,Esplanade One Mall,60% off | Use DEAL60,Percentage,RESTAURANT,2700,
Simran S Kitchen,329337,57,Patia,--,['Indian'],20000,57,57,57,Patia,,,,2700,
FOOD HEAVEN,337254,57,Patia,--,['Indian'],30000,57,57,57,Patia,,,,3200,
Hotel Chandan,199071,57,Khandagiri,--,['Indian'],25000,57,57,57,Khandagiri,25% off on orders above ₹129,Percentage,RESTAURANT,3700,
GRANDMAS KITCHEN,322652,57,Patia,--,"['Indian', 'Tandoor', 'Chinese', 'Bengali']",20000,58,58,58,Patia,,,,3200,
HATARI,317826,57,Patia,4.4,"['Chinese', 'Indian', 'Oriental', 'Tandoor']",40000,59,59,59,Patia,,,,2700,
ODISHA FRIED CHICKEN,327974,57,Khandagiri,--,"['Italian', 'North Indian']",20000,59,59,59,Khandagiri,30% off | Use SWIGGYIT,Percentage,RESTAURANT,4500,
Club Dine Restaurant,74930,57,Chandrashekarpur,3.6,"['Indian', 'Chinese', 'Tandoor', 'Biryani']",60000,60,60,60,District Centre,,,,2200,
Silver Spoon,71129,57,Patia,3.9,"['North Indian', 'Chinese']",50000,61,61,61,Infocity Avenue,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
EAT & MEET RESTAURANT,340255,57,Khandagiri,--,"['Indian', 'Chinese', 'Fast Food']",40000,61,61,61,Khandagiri,50% off on orders above ₹200,Percentage,RESTAURANT,3700,
Biryani Tribe,230271,57,Khandagiri,4,"['Biryani', 'Chinese', 'Indian']",25000,63,63,63,Khandagiri,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Chicken Lick'en,114470,57,Khandagiri,3.8,"['Indian', 'Chinese']",20000,64,64,64,Jagmohan Nagar,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Royal Biryani King,119767,57,Khandagiri,3.9,"['Indian', 'Chinese', 'Biryani']",20000,73,73,73,"Jagmohan Nagar, Khandagiri",50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Adda Unplugged,99356,57,Khandagiri,4,"['Indian', 'Chinese', 'Thai']",35000,73,73,73,"Above Reliance Fresh, Near ITER College, Jagmohan Nagar, Bhubaneshwar",20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Kitchen Kraft,123941,57,Khandagiri,4.1,"['Indian', 'Chinese', 'Biryani']",15000,73,73,73,Near Kharabela Park,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
