,name,rest_id,city,area,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
232,Down Town,316391,57,Patia,"['Chinese', 'Seafood', 'Fast Food']",25000,57,57,57,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
233,Giani,291588,57,Patia,"['Ice Cream', 'Desserts']",20000,46,46,46,Patia,,,,3200,
234,HUNGRY AND THE THIRSTY,304694,57,Patia,"['Indian', 'Chinese']",20000,52,52,52,Patia,40% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
235,"Dewberries, The Cake Shop",338112,57,Patia,"['Indian', 'Bakery']",15000,49,49,49,Patia,40% off on orders above ₹199,Percentage,RESTAURANT,3200,
236,Kruti Coffee,71778,57,Patia,"['Continental', 'Italian', 'Beverages']",25000,59,59,59,"Nandankanan Road, Near HP Petrol Pump",40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
237,Shohala Ana Odia,71613,57,Patia,"['Chinese', 'Bengali', 'Oriya']",60000,52,52,52,"Nandankanan Road, Opposite Big Bazaar",20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
238,Lal Qila,71611,57,Patia,"['Mughlai', 'Chinese', 'North Indian']",60000,59,59,59,"Nandankanan Road, Opposite Big Bazaar",20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
239,Khopcha,71604,57,Patia,"['Mexican', 'Continental', 'Chinese']",30000,49,49,49,Patia,,,,3700,
240,Lal Qila,71611,57,Patia,"['Mughlai', 'Chinese', 'North Indian']",60000,59,59,59,"Nandankanan Road, Opposite Big Bazaar",20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
241,Khopcha,71604,57,Patia,"['Mexican', 'Continental', 'Chinese']",30000,49,49,49,Patia,,,,3700,
242,New Bawarchi Chinese Restaurant 8 inn 9 out,317632,57,Sahid Nagar,"['North Indian', 'Chinese', 'Fast Food']",30000,49,49,49,Sahid Nagar,,,,3700,
243,Dalma,98779,57,Khandagiri,['Indian'],25000,52,52,52,Khandagiri,,,,3700,
244,EAT & MEET RESTAURANT,340255,57,Khandagiri,"['Indian', 'Chinese', 'Fast Food']",40000,61,61,61,Khandagiri,50% off on orders above ₹200,Percentage,RESTAURANT,3700,
245,Regal Ghar Aangan,72779,57,Patia,"['Indian', 'Tandoor', 'Chinese']",40000,50,50,50,Near DLF Cybercity,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
246,Hotel Chandan,199071,57,Khandagiri,['Indian'],25000,57,57,57,Khandagiri,25% off on orders above ₹129,Percentage,RESTAURANT,3700,
247,Yo Panda,295732,57,Patia,"['Oriental', 'Thai']",20000,60,60,60,Patia,10% off | Use SWIGGYIT,Percentage,RESTAURANT,3700,
248,Wok On,71771,57,Patia,"['Asian', 'Chinese', 'Thai']",35000,55,55,55,Opposite Axis Bank,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
249,BHONSOR KAKA,326886,57,Khandagiri,"['Chinese', 'Indian']",20000,52,52,52,Khandagiri,,,,3700,
250,The Golden Spoon,244138,57,Patia,"['Biryani', 'Chinese', 'Indian']",40000,51,51,51,Kalarahanga,50% off | Use SWIGGYIT,Percentage,RESTAURANT,3700,
251,THE BIRYANI HUB,321386,57,Khandagiri,['Indian'],40000,46,46,46,Khandagiri,,,,3700,
252,Rolling Spice,266469,57,Rasulgarh,"['Beverages', 'Fast Food']",15000,47,47,47,Rasulgarh,,,,3700,
253,Eat & Enjoy,327830,57,Sahid Nagar,"['Chinese', 'Continental', 'Indian']",20000,56,56,56,Sahid Nagar,40% off | Use SWIGGYIT,Percentage,RESTAURANT,3700,
254,The Hungrill,113151,57,Khandagiri,"['Indian', 'Chinese']",20000,57,57,57,"Ruchika Market, Baramunda",,,,3700,
255,Gingerly,321337,57,Khandagiri,"['Chinese', 'Indian', 'Italian']",25000,51,51,51,Khandagiri,,,,3700,
256,Dalma,98779,57,Khandagiri,['Indian'],25000,52,52,52,Khandagiri,,,,3700,
257,EAT & MEET RESTAURANT,340255,57,Khandagiri,"['Indian', 'Chinese', 'Fast Food']",40000,61,61,61,Khandagiri,50% off on orders above ₹200,Percentage,RESTAURANT,3700,
258,Regal Ghar Aangan,72779,57,Patia,"['Indian', 'Tandoor', 'Chinese']",40000,50,50,50,Near DLF Cybercity,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
259,Hotel Chandan,199071,57,Khandagiri,['Indian'],25000,57,57,57,Khandagiri,25% off on orders above ₹129,Percentage,RESTAURANT,3700,
260,Yo Panda,295732,57,Patia,"['Oriental', 'Thai']",20000,60,60,60,Patia,10% off | Use SWIGGYIT,Percentage,RESTAURANT,3700,
261,Wok On,71771,57,Patia,"['Asian', 'Chinese', 'Thai']",35000,55,55,55,Opposite Axis Bank,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
262,Taste Of China,106216,57,Old BBSR,['Chinese'],50000,56,56,56,Bapuji Nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
263,BHONSOR KAKA,326886,57,Khandagiri,"['Chinese', 'Indian']",20000,52,52,52,Khandagiri,,,,3700,
264,The Golden Spoon,244138,57,Patia,"['Biryani', 'Chinese', 'Indian']",40000,51,51,51,Kalarahanga,50% off | Use SWIGGYIT,Percentage,RESTAURANT,3700,
265,THE BIRYANI HUB,321386,57,Khandagiri,['Indian'],40000,46,46,46,Khandagiri,,,,3700,
266,Rolling Spice,266469,57,Rasulgarh,"['Beverages', 'Fast Food']",15000,47,47,47,Rasulgarh,,,,3700,
267,Eat & Enjoy,327830,57,Sahid Nagar,"['Chinese', 'Continental', 'Indian']",20000,56,56,56,Sahid Nagar,40% off | Use SWIGGYIT,Percentage,RESTAURANT,3700,
268,Keyar's Food Multi Cuisine,76490,57,Old BBSR,"['North Indian', 'Chinese']",50000,61,61,61,Sahid Nagar,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
269,Nice Restaurant,106117,57,Old BBSR,"['Indian', 'Chinese']",12000,65,65,65,Laxmisagar Square,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
270,The Hungrill,113151,57,Khandagiri,"['Indian', 'Chinese']",20000,57,57,57,"Ruchika Market, Baramunda",,,,3700,
271,Gingerly,321337,57,Khandagiri,"['Chinese', 'Indian', 'Italian']",25000,51,51,51,Khandagiri,,,,3700,
272,Biryani Tribe,230271,57,Khandagiri,"['Biryani', 'Chinese', 'Indian']",25000,63,63,63,Khandagiri,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
273,Laziz Pizza,156495,57,Khandagiri,"['Italian', 'Mexican', 'Pizzas']",20000,71,71,71,SAMPUR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
274,Scholars,97254,57,Khandagiri,"['Indian', 'Biryani', 'Kebabs', 'Chinese']",20000,63,63,63,"Jagmohan Nagar, Near ITER Campus",60% off | Use DEAL60,Percentage,RESTAURANT,6100,
275,Kitchen Kraft,123941,57,Khandagiri,"['Indian', 'Chinese', 'Biryani']",15000,72,72,72,Near Kharabela Park,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
276,Royal Biryani King,119767,57,Khandagiri,"['Indian', 'Chinese', 'Biryani']",20000,73,73,73,"Jagmohan Nagar, Khandagiri",50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
277,Chicken Lick'en,114470,57,Khandagiri,"['Indian', 'Chinese']",20000,64,64,64,Jagmohan Nagar,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
278,Adda Unplugged,99356,57,Khandagiri,"['Indian', 'Chinese', 'Thai']",35000,73,73,73,"Above Reliance Fresh, Near ITER College, Jagmohan Nagar, Bhubaneshwar",20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
279,Namaste Reloaded,108501,57,Khandagiri,"['Indian', 'Chinese']",15000,70,70,70,Jagamara,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
280,Budapest bake- in,250916,57,Khandagiri,"['Bakery', 'Beverages', 'Desserts']",25000,72,72,72,Khandagiri,,,,6100,
