name,rest_id,city,area,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
Grow Fit,66601,1,HSR,"['Healthy Food', 'Keto', 'Indian', 'Biryani', 'Thai']",35000,36,36,36,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Burger on Demand,153724,1,Arekere,['Beverages'],20000,36,36,36,Bannerghata Road,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
SoupWala,303870,1,HSR,"['Indian', 'Chinese', 'Fast Food']",20000,36,36,36,HSR,25% off on all orders,Percentage,RESTAURANT,2800,
Andhra Gunpowder,279024,1,HSR,"['South Indian', 'Biryani']",28000,36,36,36,HSR,20% off on all orders,Percentage,RESTAURANT,2800,
Lassi Cafe,117980,1,Kudlu Gate,"['North Indian', 'Desserts', 'Fast Food', 'Beverages']",25000,36,36,36,Harlur,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Third Wave Coffee Roasters,69903,1,HSR,"['Cafe', 'Beverages', 'Pizzas']",60000,36,36,36,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Moti Mahal Delux,644,1,HSR,"['Mughlai', 'North Indian', 'Chinese', 'Hyderabadi', 'Punjabi']",50000,36,36,36,Sector 2,10% off | Use PARTY,Percentage,RESTAURANT,2500,
THE ROLLS JUNCTION,337082,1,Kudlu Gate,['Fast Food'],25000,36,36,36,Kudlu Gate,,,,2500,
Bindu Garden Family Restaurant,45885,1,HSR,"['Chinese', 'North Indian']",30000,36,36,36,Parangipalya,,,,2800,
Grubbery,239712,1,HSR,"['Continental', 'American', 'Pan-Asian', 'Desserts', 'Beverages']",30000,36,36,36,HSR,,,,2800,
SULEMANI CHICHAS,340017,1,HSR,"['Biryani', 'Indian']",30000,36,36,36,HSR,,,,2800,
Corner House Ice Cream,8174,1,HSR,"['Ice Cream', 'Desserts']",25000,36,36,36,Sector 7,,,,5500,
Pappu Chaiwalla,31685,1,HSR,"['Continental', 'Fast Food', 'North Indian', 'Street Food']",30000,36,36,36,19th main 4th sector Hsr layout,,,,2800,
Moolehatti Donne Biryani Mane,42448,1,HSR,"['Biryani', 'South Indian', 'Chinese', 'Desserts', 'Combo']",25000,36,36,36,HSR,,,,2800,
Bengali Food Hotel,243233,1,Kudlu Gate,['Bengali'],20000,36,36,36,Kudlu Gate,,,,2800,
Sandwich Point,262749,1,HSR,['Indian'],9900,37,37,37,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
The Daily Bowl,256718,1,HSR,"['North Indian', 'Indian']",25000,37,37,37,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
The Golden Bowl,213933,1,HSR,"['Indian', 'North Indian']",20000,37,37,37,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Pohaful,278035,1,HSR,['Snacks'],20000,37,37,37,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Pastawallah,277432,1,HSR,['Italian'],20000,37,37,37,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
The Good Bowl,210198,1,Kudlu Gate,"['Fast Food', 'North Indian']",40000,37,37,37,AECS Layout,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Cake Factory,320296,1,HSR,"['Bakery', 'Desserts']",35000,37,37,37,HSR,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Rolls On Wheels,1308,1,HSR,['Fast Food'],30000,37,37,37,Opposite NIFT College,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Sandwich Eats,230259,1,HSR,"['Fast Food', 'Indian', 'Snacks', 'Beverages', 'Bakery', 'Desserts']",9900,37,37,37,HSR,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Cafe Coffee Day,29658,1,HSR,"['Beverages', 'Snacks', 'Desserts']",30000,37,37,37,Sector 1,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
SLAY Coffee,219174,1,Kudlu Gate,"['Beverages', 'Cafe', 'Desserts']",20000,37,37,37,AECS Layout,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Hyderabad Bawarchi,176380,1,HSR,"['Biryani', 'Hyderabadi', 'North Indian', 'Fast Food', 'Andhra', 'Mughlai', 'Seafood', 'Punjabi']",35000,37,37,37,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Southly Healthy,295576,1,HSR,"['South Indian', 'Healthy Food']",20000,37,37,37,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
MH09,344110,1,HSR,"['Snacks', 'Fast Food', 'Beverages']",40000,37,37,37,HSR,30% off on orders above ₹189,Percentage,RESTAURANT,2800,
BIRYANI CO,301150,1,Kudlu Gate,"['Biryani', 'Mughlai', 'Punjabi', 'North Indian', 'Hyderabadi', 'Kebabs']",50000,37,37,37,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Dessert Studio by Third Wave,289833,1,HSR,['Desserts'],20000,37,37,37,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Waffle Head,224169,1,HSR,"['Beverages', 'Desserts']",25000,37,37,37,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
HomeSe Just Veg,91092,1,HSR,"['Home Food', 'South Indian', 'North Indian']",20000,37,37,37,7th Sector,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Fat2Fit Healthy Food,330068,1,HSR,['Healthy Food'],20000,37,37,37,HSR,25% off on all orders,Percentage,RESTAURANT,2800,
hyderabadi biryani hub,132092,1,Bellandur Sarjapur,"['Chinese', 'South Indian', 'North Indian', 'Desserts', 'Fast Food', 'Beverages', 'Seafood', 'Punjabi', 'Hyderabadi']",35000,37,37,37,Bellandur Sarjapur,25% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Gongura's,310,1,HSR,"['North Indian', 'Chinese', 'Biryani']",30000,37,37,37,Sector 7,25% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Kadavu Shappu Curry's,118468,1,Kudlu Gate,"['Kerala', 'Biryani', 'Chinese', 'North Indian']",20000,37,37,37,Muneshwara nagar,20% off on orders above ₹300,Percentage,RESTAURANT,2500,
Biryani Trip,255519,1,HSR,['Biryani'],35000,37,37,37,HSR,20% off on all orders,Percentage,RESTAURANT,2800,
Mad Over Donuts,172335,1,HSR,['Desserts'],20000,37,37,37,Twin Tulips Service Apartments,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Meghana Foods,323187,1,Kudlu Gate,"['Biryani', 'Andhra', 'South Indian', 'North Indian', 'Chinese', 'Seafood']",50000,37,37,37,Kudlu Gate,,,,5500,
Mumbai Tiffin,171768,1,HSR,"['North Indian', 'Home Food', 'Thalis', 'Combo']",40000,37,37,37,Sector 5,,,,2800,
KFC,17308,1,Bellandur Sarjapur,['Fast Food'],40000,37,37,37,Total Mall,,,,2800,
Gunpowder Idli,332484,1,HSR,['South Indian'],30000,37,37,37,HSR,,,,2800,
Bowl It,316383,1,HSR,"['Salads', 'Desserts', 'Italian']",30000,37,37,37,HSR,,,,2800,
Burgermeister,304156,1,HSR,"['American', 'Fast Food', 'Beverages']",30000,37,37,37,HSR,,,,2800,
Lassiwallah,303561,1,HSR,['Indian'],20000,37,37,37,HSR,,,,2800,
Le Charcoal Xpress,14362,1,HSR,"['Arabian', 'Lebanese']",50000,37,37,37,"Sector 1, HSR Layout",,,,2800,
La Casa Brewery,491,1,Bellandur Sarjapur,"['Continental', 'North Indian', 'American', 'Chinese', 'Italian', 'Pizzas', 'Pastas', 'Steakhouse', 'Salads', 'Desserts', 'Beverages', 'Tandoor', 'Snacks', 'South Indian']",100000,37,37,37,Kasavanahall,,,,2800,
Just Shawarma,20281,1,HSR,['Middle Eastern'],15000,37,37,37,Sector 1,,,,2800,
Al Fazal Biriyani House,229244,1,HSR,"['Indian', 'Biryani']",25000,37,37,37,HSR,,,,2800,
Biryani Khazana,203786,1,HSR,['Biryani'],40000,38,38,38,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Pop Pulao,281460,1,HSR,['Indian'],20000,38,38,38,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Khichdi Kahani,276659,1,HSR,"['Healthy Food', 'North Indian']",20000,38,38,38,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
FreshMenu,6907,1,HSR,"['Chinese', 'Continental', 'Italian', 'Mediterranean', 'Thai', 'Lebanese', 'American', 'Asian', 'Beverages', 'Bakery', 'Biryani', 'Cafe', 'Desserts', 'Mexican', 'North Indian', 'Salads', 'Pizzas']",25000,38,38,38,HSR 3rd Sector,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Five star chicken,263375,1,HSR,"['American', 'Asian', 'Beverages']",13000,38,38,38,HSR,40% off on all orders,Percentage,RESTAURANT,2500,
Coal Spark Restaurant,290156,1,HSR,"['Arabian', 'North Indian', 'Chinese', 'Biryani', 'Barbecue', 'Desserts', 'Juices', 'Ice Cream', 'Seafood', 'Kerala', 'Tandoor']",25000,38,38,38,HSR,30% off on orders above ₹149,Percentage,RESTAURANT,2500,
High Street,14837,1,HSR,"['Biryani', 'North Indian', 'Tandoor', 'Andhra', 'Chinese']",40000,38,38,38,Sector 7,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Hungry Bird,65442,1,Bellandur Sarjapur,"['North Indian', 'Chinese']",40000,38,38,38,Bellandur/Sarjapur,25% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Subway,4750,1,Bellandur Sarjapur,"['Fast Food', 'Healthy Food', 'Salads', 'Snacks', 'Desserts', 'Beverages']",35000,38,38,38,HMR Complex,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Dosa Chicken & Tiffins,62430,1,HSR,"['South Indian', 'Fast Food', 'Andhra']",20000,38,38,38,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Art Of Delight,66107,1,Bellandur Sarjapur,"['Desserts', 'Ice Cream', 'Beverages']",30000,38,38,38,Varathur Hobli,20% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
SHAWARMA HOUSE,306992,1,HSR,['Indian'],14000,38,38,38,HSR,,,,2500,
Kachori Kafe,26647,1,HSR,"['North Indian', 'Rajasthani']",40000,38,38,38,22nd Cross,,,,2800,
Chef Bakers,38768,1,Bellandur Sarjapur,['Cafe'],30000,38,38,38,Kasavanahalli,,,,2800,
Daily Sushi,254655,1,HSR,"['Japanese', 'Korean', 'Pan-Asian']",70000,38,38,38,HSR,,,,2800,
Tree of life chocolates,36005,1,Bellandur Sarjapur,['Desserts'],30000,38,38,38,Bellandur,,,,2800,
Hungry Panda,312170,1,Bellandur Sarjapur,"['Asian', 'Chinese', 'Pan-Asian', 'Snacks']",25000,39,39,39,Bellandur Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,2800,
Paratha Meal co,329435,1,HSR,['Indian'],25000,39,39,39,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Namaste,241027,1,HSR,"['South Indian', 'Healthy Food', 'Thalis', 'Biryani', 'Fast Food', 'Desserts', 'Beverages', 'Indian']",10000,39,39,39,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Koyla's,86996,1,HSR,"['North Indian', 'Fast Food', 'Mughlai', 'Seafood', 'Kebabs']",25000,39,39,39,"19th main road, 2nd sector",50% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
PATUK BANGALI,337086,1,Kudlu Gate,"['Bengali', 'Snacks', 'Chaat']",25000,39,39,39,Kudlu Gate,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Barbeque Delight,25797,1,Bellandur Sarjapur,"['Arabian', 'Chinese', 'Biryani', 'Desserts', 'Ice Cream', 'South Indian', 'Fast Food']",50000,39,39,39,AMRITHA COLLEGE ROAD,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
MANORAMAA KITCHEN,257236,1,HSR,"['Indian', 'Biryani', 'North Indian', 'Chinese', 'Tandoor', 'Pastas', 'Salads', 'Beverages', 'Desserts']",30000,39,39,39,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Leon Grill,17036,1,HSR,"['Turkish', 'Portuguese', 'American']",30000,39,39,39,3Rd Sector,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Fabcafe by Fabindia,266717,1,Bellandur Sarjapur,"['North Indian', 'Healthy Food', 'Biryani', 'Beverages']",80000,39,39,39,Bellandur Sarjapur,40% off | Use HEALTHHUB,Percentage,RESTAURANT,2800,
Vijayawada Style,157341,1,Electronic City,['Indian'],36000,39,39,39,"electronics city, Phase 2",30% off on orders above ₹189,Percentage,RESTAURANT,2500,
Nandashree Naati Style,302582,1,Kudlu Gate,"['Biryani', 'Kebabs', 'South Indian']",14900,39,39,39,Kudlu Gate,30% off on orders above ₹149,Percentage,RESTAURANT,2800,
Arya's Kitchens,181514,1,HSR,"['Maharashtrian', 'North Indian', 'Chinese']",30000,39,39,39,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Lassi Shop,63502,1,Bellandur Sarjapur,"['Desserts', 'Fast Food', 'Beverages']",2000,39,39,39,Sarjapur,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Cold Stone Creamery,334103,1,Bellandur Sarjapur,"['Ice Cream', 'Desserts', 'Beverages']",20000,39,39,39,Varthur Hobli,25% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Eat Retreat,243937,1,Bellandur Sarjapur,"['North Indian', 'Chinese', 'Tandoor', 'Street Food']",35000,39,39,39,Bellandur Sarjapur,20% off on orders above ₹299,Percentage,RESTAURANT,2800,
Momo Monk,255062,1,HSR,"['Fast Food', 'Snacks']",18000,39,39,39,HSR,20% off on all orders,Percentage,RESTAURANT,2800,
ANASTASIA,334526,1,HSR,"['Seafood', 'Mangalorean', 'Continental', 'Pizzas', 'Chinese', 'Indian']",19900,39,39,39,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Frosty Crumble,106018,1,Bellandur Sarjapur,"['Desserts', 'Ice Cream', 'Beverages']",30000,39,39,39,Bellandur,20% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Flavours Hut,136764,1,HSR,"['Kerala', 'South Indian', 'North Indian', 'Chinese']",10000,39,39,39,"HSR Layout,7th sector",15% off on orders above ₹129,Percentage,RESTAURANT,2800,
Thalassery Restaurant,225438,1,Bellandur Sarjapur,"['Biryani', 'Mughlai', 'North Indian']",30000,39,39,39,Ambalipura,15% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Rashtrakutas,20819,1,HSR,"['Andhra', 'South Indian', 'Biryani']",55000,39,39,39,19th Main,10% off on orders above ₹199,Percentage,RESTAURANT,2800,
New Donne Biriyani House,170483,1,Bellandur Sarjapur,['Indian'],30000,39,39,39,"rasaganga hotel,Bellandur",10% off | Use SWIGGYIT,Percentage,RESTAURANT,5000,
Amigos Chef,327399,1,Bellandur Sarjapur,"['Fast Food', 'Snacks', 'Beverages']",30000,39,39,39,Bellandur Sarjapur,,,,2500,
NEW CALICUT CAFE RESTAURANT,336362,1,Kudlu Gate,"['Indian', 'Chinese', 'Beverages']",30000,39,39,39,Kudlu Gate,,,,2800,
Cream Stone,683,1,HSR,"['Ice Cream', 'Desserts']",20000,39,39,39,Sector 6,,,,2800,
Biriyani Zone,24236,1,HSR,"['Biryani', 'Andhra', 'South Indian', 'North Indian', 'Tandoor']",60000,39,39,39,HSR 1st sector,,,,2800,
Nanda's,30039,1,HSR,"['Andhra', 'Biryani']",40000,39,39,39,HSR,,,,2800,
TFA The Food Adda,129046,1,HSR,"['Fast Food', 'North Indian', 'Chinese']",35000,40,40,40,"Sector 2, HSR Layout",Extra ₹30 Cashback,FLAT_CASHBACK,RESTAURANT,2800,
LeanCrust Pizza,313460,1,HSR,"['Pizzas', 'Italian', 'Healthy Food']",35000,40,40,40,Harlur Road,60% off | Use DEAL60,Percentage,RESTAURANT,2500,
GUNTUR CHILLI,332641,1,HSR,['South Indian'],35000,40,40,40,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,2800,
Roti Curry and Co,277180,1,HSR,['Indian'],20000,40,40,40,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Chai Kahani,276666,1,HSR,['Beverages'],10000,40,40,40,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
BaHa Smoothie,333293,1,HSR,"['Healthy Food', 'Juices', 'Beverages', 'Snacks', 'Desserts']",40000,40,40,40,SECTOR 3,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Wow! Momo,294590,1,HSR,"['Tibetan', 'Fast Food', 'Chinese', 'Snacks', 'Continental', 'Desserts']",30000,40,40,40,HSR SECTOR 4 CCD,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Galito's,334102,1,Bellandur Sarjapur,"['African', 'Fast Food']",40000,40,40,40,Varthur Hobli,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Shaan E Panjab,181135,1,Bellandur Sarjapur,"['North Indian', 'Chinese', 'Combo']",25000,40,40,40,ebony apartment.Bellandur,40% off on all orders,Percentage,RESTAURANT,4000,
Firangi Bake,210191,1,Kudlu Gate,"['Italian', 'Spanish', 'Mexican', 'Continental']",50000,40,40,40,AECS Layout,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Ovenstory Pizza,210188,1,Kudlu Gate,['Pizzas'],60000,40,40,40,AECS Layout,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Indian Paratha Factory,29200,1,HSR,"['North Indian', 'Beverages']",20000,40,40,40,19th Main,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Uptown Pizza,259474,1,HSR,"['Italian', 'Pizzas', 'Fast Food', 'Beverages']",30000,40,40,40,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Rang De Basanti Dhaba,121408,1,HSR,"['North Indian', 'Punjabi', 'Combo', 'Tandoor', 'Mughlai', 'Desserts', 'Thalis', 'Indian']",30000,40,40,40,,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Signature Dum Biriyani & Momoz Paradise,224828,1,Bellandur Sarjapur,"['Chinese', 'Indian', 'Combo']",30000,40,40,40,Bellandur Sarjapur,40% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,
Shanmukha Restaurant,256577,1,HSR,"['Biryani', 'Hyderabadi', 'Andhra', 'North Indian', 'South Indian', 'Chinese', 'Tandoor', 'Seafood', 'Beverages']",30000,40,40,40,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Napoli Italian Bistro,93594,1,Bellandur Sarjapur,"['Continental', 'Italian']",80000,40,40,40,"Ambalipura, Sarjapur Road",30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Khan Saheb Grills and Rolls,63245,1,Bellandur Sarjapur,"['Tandoor', 'Mughlai', 'North Indian', 'Kebabs']",40000,40,40,40,Kaikondrahalli,30% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,
Once Upon A Flame,9927,1,HSR,['Continental'],100000,40,40,40,HSR,30% off | Use JUMBO,Percentage,RESTAURANT,2800,
Snack House,255794,1,HSR,"['Fast Food', 'Snacks']",18000,40,40,40,HSR,20% off on all orders,Percentage,RESTAURANT,2800,
Behrouz Biryani,210187,1,Kudlu Gate,['Biryani'],60000,40,40,40,AECS Layout,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Kitchen Boy,238069,1,Bellandur Sarjapur,"['North Indian', 'Punjabi', 'Fast Food']",20000,40,40,40,Sarjapur Main Rd,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Silbatti,27863,1,HSR,['North Indian'],60000,40,40,40,4th Sector,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Basanti Delivers Meals,215403,1,HSR,"['Combo', 'North Indian', 'Punjabi']",35000,40,40,40,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Madurai Idly Shop,18532,1,Bellandur Sarjapur,['South Indian'],30000,40,40,40,Kaikondrahalli,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
California Burrito,36001,1,HSR,"['Mexican', 'American', 'Salads', 'Continental', 'Healthy Food']",35000,40,40,40,Near BDA Complex,10% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Phulke Ghar Ke,4747,1,Bellandur Sarjapur,['North Indian'],20000,40,40,40,HMR Complex,10% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,
Punjabi Rasoi,17166,1,HSR,['North Indian'],80000,40,40,40,Sector 3,,,,2800,
CUPPA REDEFINED,256138,1,HSR,"['American', 'Continental', 'Beverages', 'Desserts']",30000,40,40,40,HSR,,,,2800,
"Bhartiya Jalpan - Sweets, Dry Fruit and Savouries",342408,1,HSR,"['North Indian', 'Desserts', 'Beverages']",45000,40,40,40,HSR,,,,2800,
Raichur Biryani House,36136,1,HSR,"['Biryani', 'Chinese', 'South Indian']",30000,40,40,40,HSR,,,,2800,
Tharavadu family restaurant,81810,1,HSR,"['North Indian', 'South Indian']",25000,40,40,40,HSR,,,,2800,
Deja Bowl,241294,1,HSR,"['North Indian', 'Combo', 'Home Food', 'Desserts', 'Indian', 'Punjabi', 'Chinese']",25000,40,40,40,HSR,,,,2800,
Southinn,43423,1,Bellandur Sarjapur,['South Indian'],20000,40,40,40,Bellandur/Sarjapur,,,,4000,
RRoyal Rajasthan,498,1,Bellandur Sarjapur,"['North Indian', 'Rajasthani']",50000,40,40,40,Kaikondrahalli,,,,4000,
cafe kanthari,262408,1,Arekere,"['Kerala', 'South Indian']",25000,40,40,40,begur road,,,,4000,
S S popular frozen stone,129552,1,Bellandur Sarjapur,"['Ice Cream', 'Beverages', 'Juices']",20000,41,41,41,Bellandur Sarjapur,Free delight on orders above ₹199,Freebie,RESTAURANT,5000,
Burger King,57283,1,HSR,"['American', 'Fast Food']",35000,41,41,41,"Ground floor , HSR layout Sectror  3",60% off | Use DEAL60,Percentage,RESTAURANT,2800,
Toque,309782,1,HSR,"['Beverages', 'Healthy Food']",20000,41,41,41,HSR,60% off | Use DEAL60,Percentage,RESTAURANT,2800,
Anjappar,436,1,HSR,"['Chettinad', 'Thalis', 'Biryani', 'Chinese', 'Tandoor']",60000,41,41,41,Sector 6,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Natural Ice Creams Mow,337562,1,HSR,"['Desserts', 'Ice Cream']",12000,41,41,41,HSR,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Canteen Central,124940,1,Bellandur Sarjapur,"['Snacks', 'Fast Food', 'North Indian', 'South Indian']",20000,41,41,41,Bellandur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Haji dum biryani,221148,1,Bellandur Sarjapur,['North Indian'],30000,41,41,41,Bellandur Sarjapur,40% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,
Burger House,233226,1,HSR,"['Bakery', 'Beverages', 'Indian', 'Italian']",20000,41,41,41,HSR,20% off on all orders,Percentage,RESTAURANT,2800,
Dhaba Shaba,45754,1,Bellandur Sarjapur,"['North Indian', 'Punjabi', 'Fast Food', 'Thalis', 'Indian']",25000,41,41,41,Bellandur/Sarjapur,20% off on all orders,Percentage,RESTAURANT,4000,
Basanti Delivers Meals,215403,1,HSR,"['Combo', 'North Indian', 'Punjabi']",35000,41,41,41,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Savoury Restaurant,35187,1,Bellandur Sarjapur,"['Arabian', 'Middle Eastern', 'North Indian', 'Grill', 'Seafood', 'Kerala', 'Chinese']",60000,41,41,41,Bellandur/Sarjapur,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Dindigul Thalappakatti,118256,1,Kudlu Gate,"['Chinese', 'South Indian', 'North Indian']",50000,41,41,41,S K compound,20% off | Use JUMBO,Percentage,RESTAURANT,2800,
Alice Kitchen,230985,1,Kudlu Gate,"['Indian', 'Kerala']",20000,41,41,41,"OWNERS COURT EAST,KASAVANAHALLI",,,,2800,
The Kerala Central,180457,1,HSR,"['South Indian', 'Kerala', 'Coastal']",70000,41,41,41,HSR Layout,,,,2800,
Kabab Magic,6404,1,HSR,"['North Indian', 'Chinese', 'Biryani', 'Tandoor']",30000,41,41,41,Outer Ring Road,,,,2800,
BELLANDUR KERALA MESS,234322,1,Bellandur Sarjapur,['Indian'],16000,41,41,41,Bellandur Sarjapur,,,,5000,
Thali 99,329426,1,HSR,['North Indian'],25000,42,42,42,HSR,50% off on all orders,Percentage,RESTAURANT,2800,
Pizza Hut,240736,1,Kudlu Gate,"['Fast Food', 'Pizzas']",35000,42,42,42,Bommanahalli,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Meal Studio,231606,1,Bellandur Sarjapur,"['North Indian', 'Indian', 'Combo', 'Desserts', 'Beverages', 'Home Food', 'Healthy Food', 'Thalis', 'South Indian']",30000,42,42,42,Bellandur Sarjapur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Natural Ice Creams Mow,337549,1,Koramangala,"['Ice Cream', 'Desserts']",12000,42,42,42,HSR,50% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,
Pappe De Desi Parathe,330058,1,Kudlu Gate,['Indian'],25000,42,42,42,Kudlu Gate,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Chinese Hut,239925,1,Bellandur Sarjapur,['Chinese'],30000,42,42,42,Bellandur Sarjapur,40% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,
Angan Punnjabi Restaurant,224843,1,Bellandur Sarjapur,"['Chinese', 'Indian']",30000,42,42,42,Bellandur Sarjapur,40% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,
Paratha Chai,173794,1,Bellandur Sarjapur,"['North Indian', 'Chinese']",20000,42,42,42,Sarjapur Main Road,40% off | Use HEALTHHUB,Percentage,RESTAURANT,0,
Lo! - Low Carb and Keto Foods,107443,1,HSR,"['Healthy Food', 'Keto', 'South Indian', 'North Indian', 'Desserts', 'Fast Food', 'Continental']",15000,42,42,42,Jakkasandra,40% off | Use HEALTHHUB,Percentage,RESTAURANT,0,
Grub@99,230772,1,Bellandur Sarjapur,"['Beverages', 'Fast Food']",30000,42,42,42,Bellandur Sarjapur,30% off | Use SWIGGYIT,Percentage,RESTAURANT,4000,
KINGS OF TANDOORI,261587,1,Bellandur Sarjapur,"['Indian', 'Tandoor', 'North Indian', 'Chinese', 'Beverages', 'Biryani']",19900,42,42,42,Kasavanahalli main road,25% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Paratha Envy,279021,1,HSR,"['North Indian', 'Mughlai', 'Punjabi']",28000,42,42,42,HSR,20% off on all orders,Percentage,RESTAURANT,2800,
MAHAPRASDHA,334810,1,Kudlu Gate,"['Sweets', 'Fast Food', 'Indian', 'Chinese']",25000,42,42,42,Kudlu Gate,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Indori Zaika,42748,1,HSR,['North Indian'],25000,42,42,42,HSR,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Sichuan,4520,1,HSR,['Chinese'],50000,42,42,42,Sector 1,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Mira's Ranna Ghor,263366,1,Kudlu Gate,['Bengali'],25000,42,42,42,HSR,,,,2800,
Royal Punjab Veg,329950,1,HSR,"['Chinese', 'North Indian', 'Punjabi', 'Tandoor']",34900,42,42,42,HSR,,,,2800,
basil bistro,209399,1,HSR,"['Chinese', 'Continental', 'Italian', 'Indian', 'American', 'Lebanese', 'Mediterranean', 'Mexican']",80000,42,42,42,HSR,,,,2800,
Purnabramha,3038,1,HSR,['Maharashtrian'],85000,42,42,42,Sector 4,,,,2800,
The Rasoiya Street,42076,1,HSR,"['American', 'Chinese', 'Continental', 'Fast Food']",60000,42,42,42,HSR,,,,2800,
