name,rest_id,city,area,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
Burger Cafe,228281,1,Electronic City,"['American', 'Fast Food', 'Continental', 'Snacks']",25000,59,59,59,Electronic City,30% off on all orders,Percentage,RESTAURANT,5000,
ROTI SABJI.COM,259388,1,BTM,"['Rajasthani', 'North Indian']",20000,59,59,59,BTM,30% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
 Maggi Hut,115742,1,BTM,"['Fast Food', 'North Indian']",20000,59,59,59,BTM 2ND STAGE,15% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Kritunga,15900,1,Electronic City,['Biryani'],40000,59,59,59,Neeladri Nagar,,,,6000,
Pizza Republic,27743,1,Electronic City,['Italian'],50000,59,59,59,Bettadasanapura Main Rd,,,,6000,
Pizza Hut,53761,1,BTM,"['Fast Food', 'Pizzas']",35000,60,60,60,Banerghata,50% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Foodie Paradise,214641,1,Arekere,"['Combo', 'Italian', 'Pizzas']",20000,60,60,60,Bilekahalli,50% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
 Sri Lakshmi Dhaba,124023,1,BTM,['North Indian'],20000,60,60,60,"100 Feet Ring Road, B T M Mico Layout",50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Hipo Burger,242211,1,Electronic City,['Indian'],50000,60,60,60,Electronic City,40% off | Use SWIGGYIT,Percentage,RESTAURANT,5000,
Holy Smoke,142407,1,BTM,"['Arabian', 'Mughlai', 'Chinese', 'Biryani']",30000,60,60,60,BTM,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Biryani Lover,236422,1,Electronic City,"['Biryani', 'Chinese', 'Indian']",30000,60,60,60,Electronic City,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Pattikattan Biriyani House,100271,1,Electronic City,"['Kerala', 'Chettinad', 'South Indian', 'North Indian']",40000,60,60,60,"Neeladri Rd, Karuna Nagar",10% off on all orders,Percentage,RESTAURANT,6000,
Scoopy Doo,173696,1,Electronic City,['Desserts'],32000,60,60,60,Electronic City,,,,6000,
Voosh Thalis & Bowls,331431,1,Electronic City,"['North Indian', 'Home Food']",19900,61,61,61,Electronic City,50% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Juice Shop,246129,1,Electronic City,"['Fast Food', 'Juices']",15000,61,61,61,Electronic City,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Coco barista,133164,1,BTM,"['North Indian', 'Chinese', 'Fast Food', 'Snacks']",30000,61,61,61,BTM Layout,30% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Food Treasure,184112,1,Electronic City,"['North Indian', 'Home Food', 'Bengali']",15000,61,61,61,Electronic City,25% off on all orders,Percentage,RESTAURANT,4000,
Kathi Chowk,175693,1,Electronic City,"['North Indian', 'Chinese', 'Tandoor', 'Biryani']",40000,61,61,61,ELECTRONIC CITY PHASE 1,20% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Kathi Junction,110350,1,Electronic City,"['North Indian', 'Chinese']",50000,61,61,61,ELECTRONIC CITY PHASE 1,20% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Achayans pride,131806,1,Electronic City,"['South Indian', 'Kerala']",20000,61,61,61,BETTADASANAPURA,,,,6000,
Oregano,302177,1,Electronic City,['Pizzas'],40000,61,61,61,Electronic City,,,,6000,
Only Punjabi,220235,1,Electronic City,"['North Indian', 'Punjabi']",20000,61,61,61,Electronic City,,,,6000,
Voosh Desi Parathas,327350,1,BTM,"['Beverages', 'Snacks', 'North Indian']",20000,62,62,62,BTM,50% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Hatti Punjab Di,12323,1,Electronic City,"['Punjabi', 'North Indian', 'Chinese', 'Tandoor']",40000,62,62,62,Neeladari nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Easy Bites,246591,1,Electronic City,"['American', 'Continental', 'Combo', 'Snacks', 'Seafood']",20000,62,62,62,Electronic City,,,,6000,
Aaha Biryani,300815,1,Electronic City,['Biryani'],40000,63,63,63,Veera Medicals,40% off | Use SWIGGYIT,Percentage,RESTAURANT,5000,
Simply Indian,23501,1,Arekere,"['Coastal', 'Chinese', 'Biryani', 'Bengali']",50000,63,63,63,"6th Stage, Bannerghatta Road",,,,6000,
Voosh Thalis & Bowls,331431,1,Electronic City,"['North Indian', 'Home Food']",19900,64,64,64,Electronic City,50% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
BLR Brewing CO,314969,1,Electronic City,['Indian'],40000,65,65,65,Electronic City,40% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Voosh Thalis & Bowls,326337,1,BTM,"['North Indian', 'Home Food']",19900,68,68,68,BTM,50% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
Churroz,314070,1,Electronic City,"['Fast Food', 'Desserts']",25000,70,70,70,Electronic City,40% off | Use SWIGGYIT,Percentage,RESTAURANT,6000,
EXPRESS BY AB'S,256914,1,BTM,['Barbecue'],50000,71,71,71,BTM,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
